episodes,tmax,goalcoords,rsz,rmax,seed,pcinit,bptype,npc,alpha,sigma,plr,clr,llr,alr,slr,gamma,nact,beta,balpha,paramsindex,noise,analysis,datadir,figdir,csvname,var_pv,var_rc,var_gr,var_lat
200000,100,[0.5],0.05,5,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[0],1e-06,drift,./data/,./fig/,results_noise_all,0.003390997289753914,0.0009015753600892114,0.7491820112809221,0.437854285730492
200000,100,[0.5],0.05,5,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[0],5e-07,drift,./data/,./fig/,results_noise_all,0.003599874799071691,0.0008210344545197259,0.6936190202238315,0.36892770104067957
200000,100,[0.5],0.05,5,1,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[0],1e-06,drift,./data/,./fig/,results_noise_all,0.0036941117361741042,0.0008246789467080799,0.4916059772570928,0.3914427058825222
200000,100,[0.5],0.05,5,2,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[0],5e-07,drift,./data/,./fig/,results_noise_all,0.0036463179264931995,0.0010380618270103737,0.8178804989657643,0.3784671478459138
200000,100,[0.5],0.05,5,2,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[0],1e-06,drift,./data/,./fig/,results_noise_all,0.00432093061780002,0.0010031133108116118,0.4513672747949175,0.3843960608233588
200000,100,[0.5],0.05,5,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[0],5e-06,drift,./data/,./fig/,results_noise_all,0.003386301211608587,0.0008850126381497661,0.8760482789958757,0.40981694960762227
200000,100,[0.5],0.05,5,2,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[0],0.0,drift,./data/,./fig/,results_noise_all,0.0037778695414086272,0.0009580239200778552,0.6317462240285132,0.40449795943000094
200000,100,[0.5],0.05,5,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[0],0.0,drift,./data/,./fig/,results_noise_all,0.0038008303238430334,0.0009464414506552588,0.9510515208384489,0.37581828055673233
200000,100,[0.5],0.05,5,1,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[0],0.0,drift,./data/,./fig/,results_noise_all,0.0031719544924616303,0.0009363247979957681,0.8646385778213674,0.3896308813996854
200000,100,[0.5],0.05,5,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[0],5e-05,drift,./data/,./fig/,results_noise_all,0.059066883346054366,0.0025394790973595686,0.6611461119474484,0.3700917820996805
200000,100,[0.5],0.05,5,2,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[0],1e-05,drift,./data/,./fig/,results_noise_all,0.007567270633585752,0.001047429974436903,0.802284962165128,0.37568813623404484
200000,100,[0.5],0.05,5,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[0],1e-05,drift,./data/,./fig/,results_noise_all,0.006205640449031034,0.0010391807288760546,0.8625425385088549,0.3863047863962169
