episodes,tmax,goalcoords,rsz,rmax,seed,pcinit,bptype,npc,alpha,sigma,plr,clr,llr,alr,slr,gamma,nact,beta,balpha,paramsindex,noise,analysis,datadir,figdir,csvname,latencys,cumr,dx,delta_dxr
50000,100,[0.5],0.05,3,1,uni,both,4,0.5,0.05,0.01,0.01,0.0,0.0,0.0,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,71,4.835683897868511,"[[0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ]]","[-0.00238099,-0.00238099,-0.00238099]"
50000,100,[0.5],0.05,3,0,uni,both,4,0.5,0.05,0.01,0.01,0.0,0.0,0.0,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,45,3.1145255769254168,"[[0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ]]","[-0.00238099,-0.00238099,-0.00238099]"
50000,100,[0.5],0.05,2,1,uni,both,4,0.5,0.05,0.01,0.01,0.0,0.0,0.0,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,99,4.033913023111758e-36,"[[0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ]]","[-0.00238099,-0.00238099,-0.00238099]"
50000,100,[0.5],0.05,4,0,uni,both,4,0.5,0.05,0.01,0.01,0.0,0.0,0.0,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,72,27.54044901356946,"[[0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ]]","[-0.00238099,-0.00238099,-0.00238099]"
50000,100,[0.5],0.05,2,2,uni,both,4,0.5,0.05,0.01,0.01,0.0,0.0,0.0,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,99,2.6801998979511627e-16,"[[0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ]]","[-0.00238099,-0.00238099,-0.00238099]"
50000,100,[0.5],0.05,3,2,uni,both,4,0.5,0.05,0.01,0.01,0.0,0.0,0.0,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,38,6.686381009473428,"[[0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ]]","[-0.00238099,-0.00238099,-0.00238099]"
50000,100,[0.5],0.05,1,2,uni,both,4,0.5,0.05,0.01,0.01,0.0,0.0,0.0,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,99,1.1969272393903592e-58,"[[0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ]]","[-0.00238099,-0.00238099,-0.00238099]"
50000,100,[0.5],0.05,1,1,uni,both,4,0.5,0.05,0.01,0.01,0.0,0.0,0.0,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,99,2.3803954828159573e-29,"[[0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ]]","[-0.00238099,-0.00238099,-0.00238099]"
50000,100,[0.5],0.05,6,0,uni,both,4,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,99,2.527587727972327e-12,"[[0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ]]","[-0.00238099,-0.01408612,-0.01408614]"
50000,100,[0.5],0.05,6,1,uni,both,4,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,99,5.314002168759377e-90,"[[0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ]]","[-0.00238099,-0.0141602 ,-0.01417243]"
