episodes,tmax,goalcoords,rsz,rmax,seed,pcinit,bptype,npc,alpha,sigma,plr,clr,llr,alr,slr,gamma,nact,beta,balpha,paramsindex,noise,analysis,datadir,figdir,csvname,latencys,cumr,trials,dx,delta_dxr
50000,100,[0.5],0.05,5,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,rmax,"[99,99,99,...,18,18,18]","[2.04393285e-28,6.38584634e-83,1.22079920e-64,...,2.52785383e+01, 2.52785383e+01,2.52785383e+01]","[    0, 5555,11111,16666,22222,27777,33333,38888,44444,50000]","[[0.61849244,0.6335984 ,0.64848238,...,0.64848238,0.6335984 ,0.61849244], [0.63078749,0.64678232,0.66260693,...,0.64884097,0.63393961,0.6188171 ], [0.69336257,0.71220761,0.73097647,...,0.65154829,0.63655003,0.62133402], ..., [0.79112167,0.81263952,0.83411551,...,0.65265272,0.63760953,0.62235037], [0.79820583,0.81987856,0.84150911,...,0.65297952,0.63792703,0.62265881], [0.80431675,0.8261315 ,0.84790424,...,0.65272048,0.63767492,0.62241348]]","[0.00023697,0.00543492,0.00711868,0.00840943,0.00628131,0.00610975, 0.00474098,0.00384644,0.00426384,0.00463392]"
50000,100,[0.5],0.05,4,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,rmax,"[99,99,99,...,17,17,17]","[5.31431777e-084,1.93820019e-018,1.49240361e-111,...,1.22148948e+001, 1.22148948e+001,1.22148948e+001]","[    0, 5555,11111,16666,22222,27777,33333,38888,44444,50000]","[[0.61849244,0.6335984 ,0.64848238,...,0.64848238,0.6335984 ,0.61849244], [0.61947639,0.63465342,0.64961303,...,0.6484909 ,0.63360636,0.61849987], [0.67002716,0.68804908,0.70597361,...,0.64849726,0.633612  ,0.61850486], ..., [0.77084294,0.7920664 ,0.81325075,...,0.64864784,0.633756  ,0.61864259], [0.78046526,0.80192124,0.82333986,...,0.64894708,0.63404649,0.61892454], [0.78976701,0.81144192,0.8330813 ,...,0.64924714,0.63433843,0.61920855]]","[ 0.00023697, 0.00208629,-0.0014869 ,-0.00639998,-0.00536304,-0.00617757, -0.00586397,-0.00639197,-0.00802058,-0.00803822]"
50000,100,[0.5],0.05,6,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,rmax,"[99,99,99,...,19,19,19]","[5.67319780e-042,2.81307839e-110,7.22996373e-105,...,3.28766163e+001, 3.28766163e+001,3.28766163e+001]","[    0, 5555,11111,16666,22222,27777,33333,38888,44444,50000]","[[0.61849244,0.6335984 ,0.64848238,...,0.64848238,0.6335984 ,0.61849244], [0.64225119,0.65886953,0.67534602,...,0.65466128,0.63955459,0.62423416], [0.70562783,0.7247653 ,0.74383357,...,0.65610216,0.6409361 ,0.62555864], ..., [0.78523319,0.80659701,0.82792282,...,0.7290024 ,0.71204374,0.69491222], [0.79068667,0.81220149,0.83368057,...,0.71702446,0.70032559,0.68345029], [0.79514376,0.81678302,0.83838845,...,0.70218743,0.68583215,0.66929475]]","[0.00023697,0.00777887,0.00524972,0.00741451,0.00597023,0.00979646, 0.00332253,0.00720789,0.00769575,0.00716222]"
50000,100,[0.5],0.05,3,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,rmax,"[90,99,60,...,16,16,16]","[1.84078774e+01,6.13479459e-50,6.97501702e+00,...,7.30661499e+00, 7.30661499e+00,7.30661499e+00]","[    0, 5555,11111,16666,22222,27777,33333,38888,44444,50000]","[[0.61849244,0.6335984 ,0.64848238,...,0.64848238,0.6335984 ,0.61849244], [0.61854591,0.6336557 ,0.64854375,...,0.64848328,0.63359923,0.61849321], [0.64819708,0.66521455,0.68210264,...,0.64848326,0.6335992 ,0.61849316], ..., [0.74014801,0.76066124,0.78112983,...,0.64848252,0.63359853,0.61849255], [0.75127364,0.77211046,0.7929076 ,...,0.64848252,0.63359852,0.61849255], [0.75982469,0.78089882,0.80193659,...,0.64848252,0.63359853,0.61849256]]","[ 0.00023697,-0.00053266,-0.00628724,-0.00897169,-0.01055628,-0.01120489, -0.01190962,-0.01240758,-0.01288422,-0.01349078]"
50000,100,[0.5],0.05,7,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,rmax,"[99,99,75,...,20,20,20]","[1.92134011e-60,1.10486422e-98,2.77518823e+01,...,4.16560127e+01, 4.16560127e+01,4.16560127e+01]","[    0, 5555,11111,16666,22222,27777,33333,38888,44444,50000]","[[0.61849244,0.6335984 ,0.64848238,...,0.64848238,0.6335984 ,0.61849244], [0.65677906,0.674072  ,0.69124755,...,0.66252482,0.64720135,0.63167117], [0.712752  ,0.73213441,0.75145387,...,0.65990276,0.64459347,0.62907987], ..., [0.78044521,0.80173872,0.82299746,...,1.00467749,0.98676218,0.96864755], [0.78735345,0.80883867,0.8302925 ,...,0.99627665,0.97840677,0.96033744], [0.79236399,0.81398636,0.83557951,...,0.99451325,0.9765716 ,0.95843253]]","[0.00023697,0.00877267,0.01011498,0.0089611 ,0.01261694,0.01312808, 0.00842503,0.00721994,0.00871274,0.00745136]"
50000,100,[0.5],0.05,8,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,rmax,"[99,99,99,...,21,21,21]","[3.51991851e-042,4.47245409e-103,5.25328041e-005,...,4.63886910e+001, 4.63886910e+001,4.63886910e+001]","[    0, 5555,11111,16666,22222,27777,33333,38888,44444,50000]","[[0.61849244,0.6335984 ,0.64848238,...,0.64848238,0.6335984 ,0.61849244], [0.66105414,0.67855144,0.69593775,...,0.69987994,0.68384028,0.66760817], [0.71052501,0.72986478,0.74913941,...,0.70328307,0.68706184,0.67065497], ..., [0.78137303,0.80272563,0.82404184,...,0.70348186,0.68721591,0.67076751], [0.78730862,0.80882801,0.83031336,...,0.70088993,0.68465013,0.66822797], [0.79480537,0.81651698,0.83819765,...,0.7011713 ,0.68493844,0.66852305]]","[0.00023697,0.01165512,0.01083501,0.008077  ,0.00552804,0.00462897, 0.00565523,0.00710903,0.00649023,0.00702956]"
50000,100,[0.5],0.05,9,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,rmax,"[99,99,71,...,22,22,22]","[7.88686919e-37,1.92510763e-16,5.98876192e+01,...,4.70236726e+01, 4.70236726e+01,4.70236726e+01]","[    0, 5555,11111,16666,22222,27777,33333,38888,44444,50000]","[[0.61849244,0.6335984 ,0.64848238,...,0.64848238,0.6335984 ,0.61849244], [0.65667532,0.67399944,0.69120675,...,0.72250502,0.70615902,0.68962762], [0.70179663,0.72085929,0.73985148,...,0.73408843,0.71744509,0.70062421], ..., [0.77181671,0.7929141 ,0.81397271,...,1.31758453,1.30096747,1.28416761], [0.78443848,0.80584947,0.82722607,...,1.30015693,1.28403295,1.26772   ], [0.79279048,0.81442808,0.83603528,...,1.33280066,1.31655152,1.30011861]]","[ 0.00023697, 0.01276212, 0.01359027, 0.00966329, 0.00945464, 0.01028314,  0.00971031,-0.00017271, 0.01049656, 0.00644763]"
50000,100,[0.5],0.05,10,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,rmax,"[99,99,99,...,23,23,28]","[8.82779321e-43,1.61797409e-82,4.20388436e-28,...,4.71837594e+01, 4.71837594e+01,4.73615834e+01]","[    0, 5555,11111,16666,22222,27777,33333,38888,44444,50000]","[[0.61849244,0.6335984 ,0.64848238,...,0.64848238,0.6335984 ,0.61849244], [0.65688948,0.67422905,0.6914509 ,...,0.72567725,0.7091367 ,0.69241914], [0.6999279 ,0.71893478,0.7378673 ,...,0.73051195,0.71374688,0.69681093], ..., [0.76989118,0.79093346,0.81193297,...,0.77946972,0.76189381,0.74415896], [0.78440285,0.80582137,0.82720271,...,0.78393149,0.76652822,0.74896078], [0.79227065,0.81387588,0.83544559,...,0.78683484,0.76946952,0.75193745]]","[0.00023697,0.0138005 ,0.01328444,0.01265639,0.01571868,0.01829904, 0.01553238,0.01452772,0.01193734,0.01114044]"
50000,100,[0.5],0.05,2,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,rmax,"[99,99,99,...,15,15,15]","[2.69283181e-126,1.77184127e-045,2.08230717e-010,...,6.23182229e+000, 6.23182229e+000,6.23182229e+000]","[    0, 5555,11111,16666,22222,27777,33333,38888,44444,50000]","[[0.61849244,0.6335984 ,0.64848238,...,0.64848238,0.6335984 ,0.61849244], [0.61849245,0.63359841,0.64848239,...,0.64848238,0.63359841,0.61849244], [0.63205001,0.64811486,0.66401076,...,0.64849187,0.63360728,0.61850075], ..., [0.7384695 ,0.75893019,0.77934549,...,0.64855753,0.63366958,0.61855985], [0.74888397,0.76964455,0.79036425,...,0.64857518,0.63368639,0.61857586], [0.75946163,0.7805167 ,0.80153499,...,0.64859107,0.63370154,0.6185903 ]]","[ 0.00023697, 0.00344569,-0.00241012,-0.00521133,-0.00637508,-0.00696453, -0.0074575 ,-0.00778553,-0.00799965,-0.00824059]"
50000,100,[0.5],0.05,1,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,rmax,"[99,99,99,...,14,14,14]","[2.84159849e-023,5.42572855e-013,4.93419270e-132,...,1.97435424e-001, 1.97435424e-001,1.97435424e-001]","[    0, 5555,11111,16666,22222,27777,33333,38888,44444,50000]","[[0.61849244,0.6335984 ,0.64848238,...,0.64848238,0.6335984 ,0.61849244], [0.61849244,0.6335984 ,0.64848238,...,0.64848238,0.6335984 ,0.61849244], [0.61849245,0.63359842,0.6484824 ,...,0.64848238,0.6335984 ,0.61849244], ..., [0.63178981,0.64779211,0.66361908,...,0.64848238,0.6335984 ,0.61849244], [0.64185842,0.65849172,0.67497712,...,0.64848238,0.63359841,0.61849244], [0.65178735,0.66897016,0.68602522,...,0.64848239,0.63359841,0.61849244]]","[ 2.36971843e-04, 2.65355637e-04, 2.39354988e-04, 2.06448352e-05, -5.53904280e-04,-1.75573223e-03,-3.63267604e-03,-5.46431195e-03, -6.80852711e-03,-7.82415275e-03]"
