episodes,tmax,goalcoords,rsz,rmax,seed,pcinit,npc,alpha,sigma,plr,clr,llr,alr,slr,gamma,nact,balpha,paramsindex,noise,datadir,figdir,csvname,trials,dxr
50000,100,[0.5],0.005,5,5,uni,64,1.0,0.05,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,0.0,[0],0.0,./data/,./fig/,results_rsz,"[    0   505  1010  1515  2020  2525  3030  3535  4040  4545  5050  5555
  6060  6565  7070  7575  8080  8585  9090  9595 10101 10606 11111 11616
 12121 12626 13131 13636 14141 14646 15151 15656 16161 16666 17171 17676
 18181 18686 19191 19696 20202 20707 21212 21717 22222 22727 23232 23737
 24242 24747 25252 25757 26262 26767 27272 27777 28282 28787 29292 29797
 30303 30808 31313 31818 32323 32828 33333 33838 34343 34848 35353 35858
 36363 36868 37373 37878 38383 38888 39393 39898 40404 40909 41414 41919
 42424 42929 43434 43939 44444 44949 45454 45959 46464 46969 47474 47979
 48484 48989 49494 50000]","[ 1.11921426e-05  3.52499844e-03  7.20656286e-03  6.79761087e-03
 -2.01915394e-03 -2.54760423e-03 -6.20775601e-03  8.39413216e-03
  1.45672034e-02  5.31330018e-03  1.23845868e-02  3.15321159e-02
  2.49040062e-02  2.01667529e-02  2.19229676e-02  2.07749281e-02
  2.63133099e-02  1.23306914e-02 -3.92451924e-03  2.22951777e-02
  6.44208374e-03  6.74512911e-03  2.02837659e-02  2.36794545e-02
  3.60008944e-03  1.87502482e-02  7.79083209e-03 -1.80825736e-02
  9.66631890e-03 -2.28133402e-04 -9.10714114e-03 -1.29616128e-03
  2.10865364e-02  3.49062386e-02  1.59390955e-02  1.59715204e-02
  1.71408844e-02 -5.59223825e-03  2.80887962e-02  4.60024283e-02
  4.03096864e-02  4.01480537e-02  2.72837976e-02  2.71705547e-02
  2.78405283e-02  2.79955241e-02  3.38664069e-02  2.57323783e-02
  3.50309439e-02  6.04724424e-03  1.10325030e-02  1.90208575e-02
  3.10262223e-02  2.19254870e-02  1.44094831e-02 -1.35622541e-02
 -3.63611187e-03  2.85431415e-02  1.13768695e-02  4.76331515e-02
  3.77381511e-02  2.93965862e-02  1.92554492e-02  3.85668077e-02
  2.44632469e-02  4.59784851e-02  4.00819510e-02  2.52257664e-02
  2.37950462e-02  1.91814523e-02  2.63937281e-02  2.86221485e-02
  3.19003803e-02  2.15008634e-02 -5.80099945e-03  4.35530078e-02
  2.62237092e-02  4.62709811e-02  3.50675999e-02  2.92158154e-02
  6.21257002e-02  4.80870622e-02  3.84237387e-02  2.70805188e-02
  4.78699710e-02  4.10447635e-02  3.50013586e-02  4.38324727e-02
  3.41461354e-02  5.51127697e-02  3.64611553e-02  4.86995273e-02
  2.53134694e-02  1.59516634e-02  1.56386862e-02  2.89607150e-02
  3.72645726e-02  5.84851609e-02  5.13452074e-02  4.72872380e-02]"
50000,100,[0.5],0.005,5,1,uni,64,1.0,0.05,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,0.0,[0],0.0,./data/,./fig/,results_rsz,"[    0   505  1010  1515  2020  2525  3030  3535  4040  4545  5050  5555
  6060  6565  7070  7575  8080  8585  9090  9595 10101 10606 11111 11616
 12121 12626 13131 13636 14141 14646 15151 15656 16161 16666 17171 17676
 18181 18686 19191 19696 20202 20707 21212 21717 22222 22727 23232 23737
 24242 24747 25252 25757 26262 26767 27272 27777 28282 28787 29292 29797
 30303 30808 31313 31818 32323 32828 33333 33838 34343 34848 35353 35858
 36363 36868 37373 37878 38383 38888 39393 39898 40404 40909 41414 41919
 42424 42929 43434 43939 44444 44949 45454 45959 46464 46969 47474 47979
 48484 48989 49494 50000]","[ 1.11921426e-05  3.14261305e-03  3.35673259e-03  4.57228543e-03
  3.24677501e-03  9.44548866e-03  2.55448574e-03  1.58275893e-02
  9.39649736e-03  6.32239788e-03  7.05800729e-03  2.26983605e-02
  1.89725904e-02  1.89979907e-02  2.20571172e-02  9.43304676e-03
  1.24541328e-02  2.92673445e-02  5.81003666e-03  1.67417085e-02
  2.65966465e-02  7.18379908e-03 -1.78548954e-02 -6.82968508e-03
  1.29229755e-02  1.73171415e-02  3.74026712e-03 -1.09951131e-02
 -3.20850491e-03  1.53798282e-03  2.05900685e-03  6.17011835e-03
  1.28327209e-02  1.16245415e-02  2.09032830e-02  2.83820295e-02
  3.23736446e-02  2.72659313e-03  1.70240516e-02  1.60088239e-02
  3.34754147e-02  2.27800689e-02  2.80501958e-02  2.90957047e-02
  3.04562738e-02  2.29111559e-02  3.53411995e-02  3.43670158e-02
  1.24966307e-02  1.58825030e-02  3.41802783e-03 -8.16731845e-03
 -1.22681689e-03  6.13168684e-03  3.13880021e-03  1.77972477e-03
 -2.41863644e-03 -1.24026686e-02 -6.81372977e-03 -1.15799097e-02
 -5.39574454e-03  8.14212991e-05 -8.41092038e-03  2.10836778e-02
  2.09022307e-02  2.27423220e-02 -2.95011130e-03  9.46041793e-03
  7.75964968e-03  1.41208349e-02  8.83092645e-03  1.37673456e-03
  2.81446732e-02  5.07208150e-03  1.92165265e-03  1.91870316e-02
  2.31042026e-02 -4.68526700e-03 -1.43567683e-02  8.41584973e-03
 -2.75986792e-02 -1.21575917e-02 -2.94718343e-02 -3.16339487e-02
 -2.51000746e-02 -2.28325807e-02 -2.45813334e-02 -8.28944114e-03
 -3.17284504e-02 -7.84196013e-03  5.91976776e-03  1.96109391e-02
  2.13501256e-02  1.36624875e-02  1.48463559e-02  2.98413206e-03
  4.40193583e-03  2.76355450e-02  2.74888174e-02  1.06865844e-02]"
50000,100,[0.5],0.005,5,0,uni,64,1.0,0.05,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,0.0,[0],0.0,./data/,./fig/,results_rsz,"[    0   505  1010  1515  2020  2525  3030  3535  4040  4545  5050  5555
  6060  6565  7070  7575  8080  8585  9090  9595 10101 10606 11111 11616
 12121 12626 13131 13636 14141 14646 15151 15656 16161 16666 17171 17676
 18181 18686 19191 19696 20202 20707 21212 21717 22222 22727 23232 23737
 24242 24747 25252 25757 26262 26767 27272 27777 28282 28787 29292 29797
 30303 30808 31313 31818 32323 32828 33333 33838 34343 34848 35353 35858
 36363 36868 37373 37878 38383 38888 39393 39898 40404 40909 41414 41919
 42424 42929 43434 43939 44444 44949 45454 45959 46464 46969 47474 47979
 48484 48989 49494 50000]","[ 1.11921426e-05  2.59110483e-03  4.89512606e-03  4.83457343e-03
 -1.79874764e-03 -8.39466281e-04  1.27167286e-03  1.42199253e-03
  3.04163391e-03  5.22459109e-03  9.97819859e-03  2.05450982e-03
  1.57130166e-02  1.01639212e-02 -2.53528964e-04  1.72565062e-02
  1.72792348e-02  3.18738107e-02  9.93130027e-03  3.15904923e-02
  1.66661879e-03  3.73149270e-02  4.22114565e-02  2.32459090e-02
  2.73356330e-02  1.36162680e-02  9.95823394e-03  2.67651163e-02
 -3.58613828e-03 -1.08505580e-02 -2.08639814e-02 -2.83332471e-02
 -1.60385554e-02 -2.14780475e-02 -1.14424893e-02 -3.75413365e-03
  1.34091313e-02  9.04331480e-03  2.98755738e-03  1.10056402e-02
  9.93963834e-03  1.54205188e-02  1.72187572e-02  5.89002169e-03
  2.75440399e-02  1.69976262e-02  1.91084055e-02  1.98197098e-02
  1.77673863e-02  3.40329078e-02  1.11900678e-02  1.52058168e-02
  5.84591211e-03  1.05813741e-02  2.97915246e-02  1.63290116e-02
  1.74325600e-02  4.16487539e-02  3.76835466e-02  4.35177344e-02
  3.69570999e-02  4.04962462e-02  3.36160684e-02  3.58644080e-02
  3.46903418e-02  4.23682293e-02  1.27239717e-02  4.44704320e-02
  5.60640009e-03  2.51871077e-02  3.48937027e-02  3.59292512e-02
  3.62778453e-02  2.28510701e-02  7.43860820e-03  9.70275752e-03
  3.66961716e-02  2.18937788e-02  1.39256670e-02  2.68780167e-02
  1.69974269e-02  3.41413225e-03  5.33492807e-03 -8.31084808e-03
  2.12348395e-03  1.46592445e-02 -4.26507837e-03 -1.65319222e-02
 -6.15574974e-03 -1.31860137e-02 -2.28897768e-02 -1.15924045e-02
 -4.53130314e-03 -2.32256162e-02 -1.98340392e-02  7.67808741e-03
 -1.13050030e-02 -9.92481801e-03  1.61071799e-02  2.54362162e-03]"
50000,100,[0.5],0.005,5,7,uni,64,1.0,0.05,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,0.0,[0],0.0,./data/,./fig/,results_rsz,"[    0   505  1010  1515  2020  2525  3030  3535  4040  4545  5050  5555
  6060  6565  7070  7575  8080  8585  9090  9595 10101 10606 11111 11616
 12121 12626 13131 13636 14141 14646 15151 15656 16161 16666 17171 17676
 18181 18686 19191 19696 20202 20707 21212 21717 22222 22727 23232 23737
 24242 24747 25252 25757 26262 26767 27272 27777 28282 28787 29292 29797
 30303 30808 31313 31818 32323 32828 33333 33838 34343 34848 35353 35858
 36363 36868 37373 37878 38383 38888 39393 39898 40404 40909 41414 41919
 42424 42929 43434 43939 44444 44949 45454 45959 46464 46969 47474 47979
 48484 48989 49494 50000]","[ 1.11921426e-05  2.93275076e-03  7.05922475e-03  4.11043090e-03
 -4.86440278e-03 -8.17182038e-04  9.06748575e-03  4.70604128e-03
 -6.89791334e-03 -5.44882218e-03  2.80107367e-04  1.45845544e-02
  1.35600667e-02  2.25315844e-03  2.01457379e-02  2.50392809e-02
  2.36608607e-02  2.66315638e-03  1.48504292e-03  6.29806830e-03
  1.49858670e-03  1.68515051e-02  5.58108073e-03 -1.84326860e-03
 -2.09073564e-02 -1.93804192e-02 -7.25999779e-03 -8.25331910e-03
  1.30105938e-02  2.42773332e-02  2.75443247e-02  2.42071299e-02
  1.73721793e-02 -2.75614329e-03  1.28967148e-02  6.77222703e-03
  1.51316975e-02  1.04528375e-02  2.22628712e-02  2.89270652e-04
  1.11227340e-02  4.90517220e-03 -1.40156063e-03 -1.23031700e-02
 -4.28887051e-04 -1.24447236e-03 -4.63733003e-03  1.04906527e-02
  1.29119060e-03 -8.47780909e-03 -1.73540829e-03 -2.56159121e-03
  2.00711047e-03  9.03242178e-03 -1.35645676e-04  4.44112692e-03
  8.92220064e-03  1.44892205e-02  3.36823952e-02  2.79328890e-02
  2.36398571e-02  3.21850153e-02  1.45354633e-02  2.42721153e-02
  3.19314847e-02  1.44412708e-02  3.86192370e-02  3.26913518e-02
  3.72717219e-02  2.18955808e-02  6.00210588e-03  3.74488668e-02
  2.51689707e-02  3.48505663e-02  1.89530170e-02  3.47166685e-02
  3.14099688e-02  3.96217944e-02  3.47740943e-02  2.92111670e-02
  3.52117441e-02  5.63320061e-02  4.18474579e-02  3.88427661e-02
  3.99497350e-02  2.86152743e-02  5.14767115e-02  5.52981658e-02
  4.54244764e-02  4.93424232e-02  2.87367496e-02  3.53079564e-02
  5.60363123e-02  3.04838931e-02  1.51505075e-02  3.26565133e-02
  3.02578396e-02  1.15241952e-02  2.67074321e-02  2.24990630e-02]"
50000,100,[0.5],0.005,5,2,uni,64,1.0,0.05,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,0.0,[0],0.0,./data/,./fig/,results_rsz,"[    0   505  1010  1515  2020  2525  3030  3535  4040  4545  5050  5555
  6060  6565  7070  7575  8080  8585  9090  9595 10101 10606 11111 11616
 12121 12626 13131 13636 14141 14646 15151 15656 16161 16666 17171 17676
 18181 18686 19191 19696 20202 20707 21212 21717 22222 22727 23232 23737
 24242 24747 25252 25757 26262 26767 27272 27777 28282 28787 29292 29797
 30303 30808 31313 31818 32323 32828 33333 33838 34343 34848 35353 35858
 36363 36868 37373 37878 38383 38888 39393 39898 40404 40909 41414 41919
 42424 42929 43434 43939 44444 44949 45454 45959 46464 46969 47474 47979
 48484 48989 49494 50000]","[ 1.11921426e-05  3.11789380e-03  7.52775642e-03  1.98177335e-03
  3.23320926e-03  2.00831623e-03  2.82510930e-03  6.89349737e-03
  5.42722989e-03  1.82935649e-02  2.02430397e-02  3.64421210e-03
  4.44167243e-03  3.67848492e-03  9.59784534e-03  1.29967488e-02
  1.99082419e-03  2.80699042e-02  1.78090099e-02  1.13821552e-02
  4.72331999e-03 -1.51445191e-03  5.78677442e-03  8.88020968e-03
  1.42204982e-02  2.82132065e-03 -1.08371507e-02 -1.53195672e-02
 -2.43187197e-02 -2.49660837e-03  7.13656796e-03  7.59377276e-03
 -1.42540667e-03  3.36554744e-04 -3.44519287e-03 -2.38142713e-03
 -8.40924571e-03  2.19396217e-02  1.37538485e-02  1.46262422e-03
  1.35741430e-02  3.79884701e-03  9.81618512e-04 -7.48431178e-04
 -1.98992157e-02  2.34675630e-04  1.41622071e-03  1.29993503e-02
  1.67012992e-02  4.27659099e-03  9.50749621e-03  6.72850786e-03
  1.45968960e-02 -2.20668828e-03  9.90561581e-03 -9.86041191e-03
 -8.70648725e-03  6.74152937e-03  8.15023036e-03  1.24767748e-02
  7.32930844e-03 -7.46646357e-03  2.96044878e-03 -9.43544426e-03
 -4.44899167e-03  4.92597923e-03  7.23687397e-04 -1.04968976e-02
  1.20806141e-02  2.41929147e-02  1.98043939e-03  8.93563683e-03
  1.53760273e-02 -9.90362592e-03  2.97363401e-03  5.47917931e-04
  1.66590391e-03  1.67715678e-02  4.39550908e-04  3.73653063e-04
 -9.22474638e-03 -1.14847463e-02 -1.37364432e-02 -4.34995016e-03
 -1.19952072e-02 -2.73317961e-03  4.16203737e-05 -1.11575336e-02
 -1.58205239e-02 -1.37962981e-02 -1.38049325e-02 -1.58632584e-02
 -6.28300846e-03 -9.93925071e-03 -8.48441620e-03 -7.34877492e-03
  4.00603691e-03  5.05596484e-03 -1.87834187e-03 -1.93147236e-02]"
50000,100,[0.5],0.005,5,4,uni,64,1.0,0.05,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,0.0,[0],0.0,./data/,./fig/,results_rsz,"[    0   505  1010  1515  2020  2525  3030  3535  4040  4545  5050  5555
  6060  6565  7070  7575  8080  8585  9090  9595 10101 10606 11111 11616
 12121 12626 13131 13636 14141 14646 15151 15656 16161 16666 17171 17676
 18181 18686 19191 19696 20202 20707 21212 21717 22222 22727 23232 23737
 24242 24747 25252 25757 26262 26767 27272 27777 28282 28787 29292 29797
 30303 30808 31313 31818 32323 32828 33333 33838 34343 34848 35353 35858
 36363 36868 37373 37878 38383 38888 39393 39898 40404 40909 41414 41919
 42424 42929 43434 43939 44444 44949 45454 45959 46464 46969 47474 47979
 48484 48989 49494 50000]","[ 1.11921426e-05  3.12308552e-03  7.34495638e-03  3.45881123e-03
  1.23083404e-03 -2.50263458e-03 -1.85022180e-03  1.18381164e-02
  9.32967703e-04 -9.75790337e-03  1.16822947e-03  7.10775592e-04
 -1.47854794e-02  7.45510389e-03  2.61220985e-03  4.39291570e-03
 -2.60031272e-03 -3.26387485e-03 -4.95076678e-03 -8.87585779e-03
 -2.20018278e-02 -2.23323846e-02 -1.01523089e-02 -3.58315477e-02
 -2.84704780e-02 -2.02440136e-02 -8.17560926e-03 -8.29313102e-03
 -2.50353271e-03 -2.62497484e-02 -1.51366934e-02 -3.68791726e-03
 -2.49715506e-02 -4.37621663e-03 -1.23459573e-02 -2.34911949e-02
 -2.19028586e-02 -1.30526537e-02 -8.85618059e-04 -5.30631704e-04
 -8.93349844e-03 -3.41023785e-02 -1.18479565e-02 -1.67430125e-02
 -6.96655308e-03 -2.00469378e-02 -9.14497167e-03 -2.53895586e-02
 -1.82649370e-02  7.28809133e-03 -2.34403346e-02 -1.49854895e-02
 -8.96311312e-03 -1.34008974e-02 -1.81538413e-02 -2.64463886e-02
 -1.88676927e-02 -2.79787117e-03 -2.20636246e-03 -4.40061061e-03
 -1.71422487e-02 -7.51411428e-03 -4.14671494e-03 -1.59006365e-02
  4.62072007e-03 -1.51381720e-02 -1.30966502e-02 -2.23821818e-02
 -4.43159661e-02 -4.29360991e-02 -2.06978523e-02 -3.12186447e-02
 -2.48924676e-02 -2.71235183e-02 -3.58446868e-02 -4.06542485e-02
 -2.11176062e-02 -1.61150207e-02 -2.54689488e-02 -9.14510016e-03
 -1.06041847e-02 -2.94530452e-04 -1.61815460e-02 -6.81962494e-03
 -9.77414113e-03 -8.17425351e-03 -1.46797118e-02  5.55297670e-04
 -1.69157129e-02 -1.51903308e-02 -9.84064313e-03 -1.77068984e-02
 -1.27423226e-02 -6.68631579e-03 -1.12475065e-02 -3.97859544e-03
 -3.63952905e-03  1.99294098e-03 -5.85706672e-03 -3.14095733e-03]"
50000,100,[0.5],0.005,5,8,uni,64,1.0,0.05,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,0.0,[0],0.0,./data/,./fig/,results_rsz,"[    0   505  1010  1515  2020  2525  3030  3535  4040  4545  5050  5555
  6060  6565  7070  7575  8080  8585  9090  9595 10101 10606 11111 11616
 12121 12626 13131 13636 14141 14646 15151 15656 16161 16666 17171 17676
 18181 18686 19191 19696 20202 20707 21212 21717 22222 22727 23232 23737
 24242 24747 25252 25757 26262 26767 27272 27777 28282 28787 29292 29797
 30303 30808 31313 31818 32323 32828 33333 33838 34343 34848 35353 35858
 36363 36868 37373 37878 38383 38888 39393 39898 40404 40909 41414 41919
 42424 42929 43434 43939 44444 44949 45454 45959 46464 46969 47474 47979
 48484 48989 49494 50000]","[ 1.11921426e-05  2.49707542e-03  5.67684512e-03  1.50478141e-03
  4.26862230e-04  1.31250941e-03  5.42105224e-03  1.61702044e-03
  4.93748050e-03  4.55654027e-03  1.09372600e-02  1.84938014e-02
  1.20362968e-02  9.36908070e-03 -1.46983582e-02  1.03707451e-02
  2.47168646e-02  2.94294727e-02  2.30466445e-02  1.95143890e-02
  1.45950258e-02  1.94795681e-02  1.66024486e-02  2.46219122e-02
  3.54312014e-04  1.11373261e-02  2.09331831e-04  7.05500144e-03
  1.18386597e-02  1.77184587e-02  1.32874241e-03  1.58939191e-02
  1.74127773e-02  9.08741134e-03 -1.06919335e-02 -1.10325268e-02
 -6.71768075e-03 -1.08756360e-02 -1.08175043e-02 -9.67761677e-03
 -7.91983123e-03 -8.04375111e-03 -1.41806182e-02 -1.30901240e-02
 -3.65020598e-03 -2.23589472e-02 -1.35926873e-02 -2.00491422e-02
 -1.29003874e-02 -1.33878241e-02 -1.84986805e-02 -1.99417070e-02
 -1.88848624e-02 -1.70605552e-02 -3.42544701e-03 -4.83894940e-03
 -1.55857425e-02 -8.78803132e-03 -2.06375966e-03 -8.75164295e-03
 -9.21166120e-04  8.79575859e-03 -1.11097328e-03  3.04371762e-02
  2.37478773e-02  1.96970442e-02  3.12881976e-03  1.30560957e-02
  1.07290127e-02  2.90819062e-02  1.96583569e-02 -1.00301406e-03
 -2.81067681e-03  1.99743798e-03 -3.71085635e-04  1.55774527e-02
  1.61927104e-02  1.40654161e-02  1.76449232e-02  1.76549444e-02
  1.87858366e-02  2.09923550e-02  2.32229494e-02  2.41479410e-02
  2.57318929e-02  1.42571200e-02  2.84871331e-02  2.74563235e-02
  2.13494062e-02  2.70138891e-02  3.64801470e-02  1.79337358e-02
  3.51123382e-02  3.38995275e-02  3.41097224e-02  2.58675211e-02
  3.16190876e-02  3.61672390e-02  2.62255251e-02  3.07180350e-02]"
50000,100,[0.5],0.005,5,9,uni,64,1.0,0.05,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,0.0,[0],0.0,./data/,./fig/,results_rsz,"[    0   505  1010  1515  2020  2525  3030  3535  4040  4545  5050  5555
  6060  6565  7070  7575  8080  8585  9090  9595 10101 10606 11111 11616
 12121 12626 13131 13636 14141 14646 15151 15656 16161 16666 17171 17676
 18181 18686 19191 19696 20202 20707 21212 21717 22222 22727 23232 23737
 24242 24747 25252 25757 26262 26767 27272 27777 28282 28787 29292 29797
 30303 30808 31313 31818 32323 32828 33333 33838 34343 34848 35353 35858
 36363 36868 37373 37878 38383 38888 39393 39898 40404 40909 41414 41919
 42424 42929 43434 43939 44444 44949 45454 45959 46464 46969 47474 47979
 48484 48989 49494 50000]","[ 1.11921426e-05  3.82347235e-03  8.02224474e-03 -2.08349071e-03
 -5.84483507e-04 -5.19275164e-03  1.41743180e-03  9.12180329e-03
  8.49475459e-03  5.13637969e-03  2.54289115e-02  2.49704499e-02
  2.31688798e-02  1.70491895e-03  1.77829683e-02  2.52772238e-02
  1.69559999e-02  2.45044337e-02  3.10721376e-02  1.48312069e-02
  2.11353229e-02  9.23050443e-03  1.97350786e-02  1.17353722e-02
  6.55752880e-03  1.02888465e-02  1.09880276e-02 -3.60896802e-03
 -6.78633492e-04 -9.86361019e-04 -8.70881070e-03 -1.17965632e-02
  5.10738945e-03  2.72560932e-02  2.17145534e-02  2.38183640e-02
  1.98179802e-02  2.57120528e-02  2.04237694e-02  5.33149825e-03
  2.74370056e-02  1.68651259e-02  3.40986349e-02  2.68810818e-02
  3.29461361e-02  7.52646798e-03  1.32191179e-04  1.46662402e-02
  3.93423793e-02  2.33762098e-02  2.67422250e-02  1.72718033e-02
  2.31895683e-02  1.39764842e-02  2.10691160e-02  2.74566484e-02
  1.05288359e-02  2.32454961e-02  2.80001006e-03  4.05959493e-03
  3.90815179e-03  4.69870666e-03  2.45255525e-02  1.30008545e-02
  1.86990270e-02  1.29295362e-02  2.38815484e-02  8.37617763e-03
  6.63749932e-03  7.49265772e-03 -8.19464361e-03  4.46197871e-03
  5.89489042e-03 -2.85074718e-03 -7.20985432e-03 -1.19883165e-02
 -2.02152248e-02  9.51819198e-03  9.63981280e-03  1.56058163e-02
  9.15066514e-03  1.08970344e-02  1.08310627e-02  1.26066741e-02
  1.98124985e-02  1.64771517e-02  1.81517251e-02  1.66471568e-02
  2.31049314e-02  1.74630910e-02  2.78287441e-02  2.82379737e-02
  3.55007991e-02  3.72546373e-02  4.02356969e-02  1.39919857e-02
  1.50140622e-02  2.76822118e-02  4.19647659e-02  3.14654556e-02]"
50000,100,[0.5],0.005,5,3,uni,64,1.0,0.05,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,0.0,[0],0.0,./data/,./fig/,results_rsz,"[    0   505  1010  1515  2020  2525  3030  3535  4040  4545  5050  5555
  6060  6565  7070  7575  8080  8585  9090  9595 10101 10606 11111 11616
 12121 12626 13131 13636 14141 14646 15151 15656 16161 16666 17171 17676
 18181 18686 19191 19696 20202 20707 21212 21717 22222 22727 23232 23737
 24242 24747 25252 25757 26262 26767 27272 27777 28282 28787 29292 29797
 30303 30808 31313 31818 32323 32828 33333 33838 34343 34848 35353 35858
 36363 36868 37373 37878 38383 38888 39393 39898 40404 40909 41414 41919
 42424 42929 43434 43939 44444 44949 45454 45959 46464 46969 47474 47979
 48484 48989 49494 50000]","[ 1.11921426e-05  3.20771072e-03  6.34741764e-03  3.92785716e-03
  2.35211127e-03  1.30428240e-03  2.26205445e-03  2.85009801e-03
  4.95541149e-03  1.54743738e-02  5.06859135e-03  1.44871683e-02
  2.21459852e-02 -2.47442769e-03  1.40128831e-02  1.83845550e-02
  6.33452654e-03  9.92103766e-03  8.72143264e-03  1.07654220e-02
  2.15752158e-02  6.56918353e-03  2.00151965e-02  2.37116846e-02
  1.16475082e-02  1.44271520e-02  1.92019277e-03 -1.23470965e-02
  8.93835634e-04  2.86303520e-02  1.51320959e-02  7.21846996e-03
  2.50075984e-02 -2.17887004e-03  6.26265757e-03  1.33055158e-02
  1.61351066e-02  3.74589487e-03 -5.22373374e-03  9.87486128e-04
  1.78654076e-02  2.37292615e-02  5.40632443e-03  2.45180274e-02
  3.27658367e-03  8.08742096e-03  4.18794563e-03  3.40127432e-03
 -5.32124152e-03  9.22351966e-03  2.24349832e-02  7.61297145e-03
  1.54735321e-02 -6.68625083e-03 -5.50984194e-03 -1.14325768e-02
  1.15075575e-02  2.78489109e-02  2.22199169e-02  2.45584341e-02
  2.34599454e-02  2.38159791e-02  7.96581301e-03  2.46852852e-02
  2.31315780e-02  3.49293546e-02  1.45174630e-02  1.93870128e-02
  3.46591220e-02  4.60283153e-02  3.01113970e-02  9.23325960e-03
  2.83663822e-03  3.89787018e-02  2.32708254e-02  8.48326819e-03
  1.36763040e-02  3.58003769e-02  3.43170693e-02  1.96297085e-02
  2.67729326e-03  4.40842992e-03  1.49044550e-02 -1.78981652e-03
  3.87114414e-03  2.25371120e-02  1.52818247e-02  5.63807256e-03
  1.48696082e-02  1.44253605e-02  3.17100053e-02  2.62027563e-02
  2.58925848e-02  1.85057484e-02  3.03245404e-02  1.90211043e-02
  3.38818847e-02  2.30337384e-02  2.93083529e-02  2.03855023e-02]"
50000,100,[0.5],0.005,5,5,uni,64,1.0,0.05,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,0.0,[0],0.0,./data/,./fig/,results_rsz,"[    0   505  1010  1515  2020  2525  3030  3535  4040  4545  5050  5555
  6060  6565  7070  7575  8080  8585  9090  9595 10101 10606 11111 11616
 12121 12626 13131 13636 14141 14646 15151 15656 16161 16666 17171 17676
 18181 18686 19191 19696 20202 20707 21212 21717 22222 22727 23232 23737
 24242 24747 25252 25757 26262 26767 27272 27777 28282 28787 29292 29797
 30303 30808 31313 31818 32323 32828 33333 33838 34343 34848 35353 35858
 36363 36868 37373 37878 38383 38888 39393 39898 40404 40909 41414 41919
 42424 42929 43434 43939 44444 44949 45454 45959 46464 46969 47474 47979
 48484 48989 49494 50000]","[ 1.11921426e-05  4.07452937e-03  4.83291590e-03  3.51663884e-03
  2.93271039e-03  2.52542078e-03  2.03982588e-03  1.85395967e-03
  2.46986461e-03  1.08338485e-02 -5.32701953e-03  6.83854633e-04
  1.30493571e-02 -8.48071659e-03 -2.66026593e-03  2.28472186e-02
  5.79127260e-03  1.92531764e-02  2.46042827e-02  1.70350845e-02
  2.90475800e-02  2.02063614e-02  6.65813357e-03  1.80450079e-03
  1.37999157e-02  2.09240529e-02  2.25177468e-02  3.47123179e-03
  6.19395361e-03  1.27177578e-02  9.55827344e-03  5.01459754e-03
 -4.09925840e-03  9.29444545e-04  8.34955814e-03  8.28571123e-03
 -3.12389538e-03  1.03581124e-02 -9.22955802e-03 -3.32018807e-02
 -1.19650353e-02 -1.06018201e-02 -4.74315110e-03 -1.01998125e-02
 -9.43121154e-03 -7.94790940e-04  1.34566040e-02 -7.78046541e-03
  1.97755829e-02  3.67886613e-03  6.02777046e-03  6.51989563e-03
  3.73289703e-05  2.00355908e-02  5.67408137e-04 -5.40519351e-03
  1.14886439e-02  7.10808804e-03  1.56799748e-02  7.64843901e-03
  6.17166897e-03  1.29082330e-02  2.28964931e-02  3.46407289e-03
  3.28114881e-02  1.02945526e-02  2.80479321e-02  4.39296249e-02
  2.65167281e-02  1.30020075e-02  5.93478711e-03  2.20725906e-02
 -1.24984328e-03  4.82510181e-03 -2.00405823e-03  2.59456786e-02
  1.65668565e-02  2.30719794e-03  1.74100114e-02  2.44008040e-03
  1.68285892e-02  3.00775028e-02  1.75904336e-02 -2.74018732e-04
 -2.13085141e-03 -2.12745533e-02  7.01747405e-03  1.95811688e-02
  1.81682717e-02  3.73771238e-02 -5.89298165e-03 -1.43651976e-02
 -6.92730228e-03 -1.63744026e-03 -1.64289819e-02 -2.42743984e-02
 -1.23572923e-02 -2.11686160e-02 -2.36812489e-02 -3.20078462e-03]"
